"SeriesName","LookupTicker","Type","Index","Source","StartRange","EndRange","Frequency"
"NUE","NUE","equity","SP500","yahoo","NULL","NULL","d"
"NVDA","NVDA","equity","SP500","yahoo","NULL","NULL","d"
"NYX","NYX","equity","SP500","yahoo","NULL","NULL","d"
"ORLY","ORLY","equity","SP500","yahoo","NULL","NULL","d"
"OXY","OXY","equity","SP500","yahoo","NULL","NULL","d"
"ODP","ODP","equity","SP500","yahoo","NULL","NULL","d"
"OMC","OMC","equity","SP500","yahoo","NULL","NULL","d"
"OKE","OKE","equity","SP500","yahoo","NULL","NULL","d"
"ORCL","ORCL","equity","SP500","yahoo","NULL","NULL","d"
"OI","OI","equity","SP500","yahoo","NULL","NULL","d"
"PCAR","PCAR","equity","SP500","yahoo","NULL","NULL","d"
"IR","IR","equity","SP500","yahoo","NULL","NULL","d"
"PLL","PLL","equity","SP500","yahoo","NULL","NULL","d"
"PH","PH","equity","SP500","yahoo","NULL","NULL","d"
"PDCO","PDCO","equity","SP500","yahoo","NULL","NULL","d"
"PAYX","PAYX","equity","SP500","yahoo","NULL","NULL","d"
"BTU","BTU","equity","SP500","yahoo","NULL","NULL","d"
"JCP","JCP","equity","SP500","yahoo","NULL","NULL","d"
"PBCT","PBCT","equity","SP500","yahoo","NULL","NULL","d"
"POM","POM","equity","SP500","yahoo","NULL","NULL","d"
"PEP","PEP","equity","SP500","yahoo","NULL","NULL","d"
"PKI","PKI","equity","SP500","yahoo","NULL","NULL","d"
"PFE","PFE","equity","SP500","yahoo","NULL","NULL","d"
"PCG","PCG","equity","SP500","yahoo","NULL","NULL","d"
"PM","PM","equity","SP500","yahoo","NULL","NULL","d"
"PNW","PNW","equity","SP500","yahoo","NULL","NULL","d"
"PXD","PXD","equity","SP500","yahoo","NULL","NULL","d"
"PBI","PBI","equity","SP500","yahoo","NULL","NULL","d"
"PCL","PCL","equity","SP500","yahoo","NULL","NULL","d"
"PNC","PNC","equity","SP500","yahoo","NULL","NULL","d"
"RL","RL","equity","SP500","yahoo","NULL","NULL","d"
"PPG","PPG","equity","SP500","yahoo","NULL","NULL","d"
"PPL","PPL","equity","SP500","yahoo","NULL","NULL","d"
"PX","PX","equity","SP500","yahoo","NULL","NULL","d"
"PCP","PCP","equity","SP500","yahoo","NULL","NULL","d"
"PCLN","PCLN","equity","SP500","yahoo","NULL","NULL","d"
"PFG","PFG","equity","SP500","yahoo","NULL","NULL","d"
"PG","PG","equity","SP500","yahoo","NULL","NULL","d"
"PGN","PGN","equity","SP500","yahoo","NULL","NULL","d"
"PGR","PGR","equity","SP500","yahoo","NULL","NULL","d"
"PLD","PLD","equity","SP500","yahoo","NULL","NULL","d"
"PRU","PRU","equity","SP500","yahoo","NULL","NULL","d"
"PEG","PEG","equity","SP500","yahoo","NULL","NULL","d"
"PSA","PSA","equity","SP500","yahoo","NULL","NULL","d"
"PHM","PHM","equity","SP500","yahoo","NULL","NULL","d"
"QEP","QEP","equity","SP500","yahoo","NULL","NULL","d"
"QLGC","QLGC","equity","SP500","yahoo","NULL","NULL","d"
"PWR","PWR","equity","SP500","yahoo","NULL","NULL","d"
"QCOM","QCOM","equity","SP500","yahoo","NULL","NULL","d"
"DGX","DGX","equity","SP500","yahoo","NULL","NULL","d"
"Q","Q","equity","SP500","yahoo","NULL","NULL","d"
"RSH","RSH","equity","SP500","yahoo","NULL","NULL","d"
"RRC","RRC","equity","SP500","yahoo","NULL","NULL","d"
"RTN","RTN","equity","SP500","yahoo","NULL","NULL","d"
"RHT","RHT","equity","SP500","yahoo","NULL","NULL","d"
"RF","RF","equity","SP500","yahoo","NULL","NULL","d"
"RSG","RSG","equity","SP500","yahoo","NULL","NULL","d"
"RAI","RAI","equity","SP500","yahoo","NULL","NULL","d"
"RHI","RHI","equity","SP500","yahoo","NULL","NULL","d"
"ROK","ROK","equity","SP500","yahoo","NULL","NULL","d"
"COL","COL","equity","SP500","yahoo","NULL","NULL","d"
"ROP","ROP","equity","SP500","yahoo","NULL","NULL","d"
"ROST","ROST","equity","SP500","yahoo","NULL","NULL","d"
"RDC","RDC","equity","SP500","yahoo","NULL","NULL","d"
"R","R","equity","SP500","yahoo","NULL","NULL","d"
"SWY","SWY","equity","SP500","yahoo","NULL","NULL","d"
"SAI","SAI","equity","SP500","yahoo","NULL","NULL","d"
"CRM","CRM","equity","SP500","yahoo","NULL","NULL","d"
"SNDK","SNDK","equity","SP500","yahoo","NULL","NULL","d"
"SLE","SLE","equity","SP500","yahoo","NULL","NULL","d"
"SCG","SCG","equity","SP500","yahoo","NULL","NULL","d"
"SLB","SLB","equity","SP500","yahoo","NULL","NULL","d"
"SNI","SNI","equity","SP500","yahoo","NULL","NULL","d"
"SEE","SEE","equity","SP500","yahoo","NULL","NULL","d"
"SHLD","SHLD","equity","SP500","yahoo","NULL","NULL","d"
"SRE","SRE","equity","SP500","yahoo","NULL","NULL","d"
"SHW","SHW","equity","SP500","yahoo","NULL","NULL","d"
"SIAL","SIAL","equity","SP500","yahoo","NULL","NULL","d"
"SPG","SPG","equity","SP500","yahoo","NULL","NULL","d"
"SLM","SLM","equity","SP500","yahoo","NULL","NULL","d"
"SJM","SJM","equity","SP500","yahoo","NULL","NULL","d"
"SNA","SNA","equity","SP500","yahoo","NULL","NULL","d"
"SO","SO","equity","SP500","yahoo","NULL","NULL","d"
"LUV","LUV","equity","SP500","yahoo","NULL","NULL","d"
"SWN","SWN","equity","SP500","yahoo","NULL","NULL","d"
"SE","SE","equity","SP500","yahoo","NULL","NULL","d"
"S","S","equity","SP500","yahoo","NULL","NULL","d"
"STJ","STJ","equity","SP500","yahoo","NULL","NULL","d"
"SWK","SWK","equity","SP500","yahoo","NULL","NULL","d"
"SPLS","SPLS","equity","SP500","yahoo","NULL","NULL","d"
"SBUX","SBUX","equity","SP500","yahoo","NULL","NULL","d"
