Spot, Strike, Vol, Expiry, BSC_An_price, MC_price, numberPaths 
40.5,42,0.2,1e-07,1e-07,1e-07,10000,
40.5,42,0.2,0.2,0.986022,0.977907,10000,
40.5,42,0.2,0.4,1.74224,1.72707,10000,
40.5,42,0.2,0.6,2.38131,2.36154,10000,
40.5,42,0.2,0.8,2.95522,2.93194,10000,
40.5,42,0.2,1,3.48581,3.45976,10000,
40.5,45.2,0.0100001,1e-07,1e-07,1e-07,10000,
40.5,45.2,0.0100001,0.2,1e-07,1e-07,10000,
40.5,45.2,0.0100001,0.4,1e-07,1e-07,10000,
40.5,45.2,0.0100001,0.6,1e-07,1e-07,10000,
40.5,45.2,0.0100001,0.8,1e-07,1e-07,10000,
40.5,45.2,0.0100001,1,1.00073e-07,1e-07,10000,
40.5,45.2,0.0480001,1e-07,1e-07,1e-07,10000,
40.5,45.2,0.0480001,0.2,4.01358e-07,6.32704e-05,10000,
40.5,45.2,0.0480001,0.4,0.000569567,0.00161792,10000,
40.5,45.2,0.0480001,0.6,0.00891454,0.0115063,10000,
40.5,45.2,0.0480001,0.8,0.0393714,0.0421617,10000,
40.5,45.2,0.0480001,1,0.102212,0.103766,10000,
40.5,45.2,0.0860001,1e-07,1e-07,1e-07,10000,
40.5,45.2,0.0860001,0.2,0.00243652,0.00431455,10000,
40.5,45.2,0.0860001,0.4,0.0474314,0.0511962,10000,
40.5,45.2,0.0860001,0.6,0.158157,0.160153,10000,
40.5,45.2,0.0860001,0.8,0.319488,0.317906,10000,
40.5,45.2,0.0860001,1,0.516584,0.513156,10000,
40.5,45.2,0.124,1e-07,1e-07,1e-07,10000,
40.5,45.2,0.124,0.2,0.033728,0.0378562,10000,
40.5,45.2,0.124,0.4,0.208295,0.210172,10000,
40.5,45.2,0.124,0.6,0.460488,0.45802,10000,
40.5,45.2,0.124,0.8,0.747211,0.742942,10000,
40.5,45.2,0.124,1,1.05114,1.04528,10000,
40.5,45.2,0.162,1e-07,1e-07,1e-07,10000,
40.5,45.2,0.162,0.2,0.118773,0.122737,10000,
40.5,45.2,0.162,0.4,0.454684,0.452704,10000,
40.5,45.2,0.162,0.6,0.840263,0.835755,10000,
40.5,45.2,0.162,0.8,1.23502,1.22879,10000,
40.5,45.2,0.162,1,1.62844,1.61927,10000,
40.5,45.2,0.2,1e-07,1e-07,1e-07,10000,
40.5,45.2,0.2,0.2,0.253089,0.254872,10000,
40.5,45.2,0.2,0.4,0.75197,0.747943,10000,
40.5,45.2,0.2,0.6,1.25948,1.25362,10000,
40.5,45.2,0.2,0.8,1.75101,1.74236,10000,
40.5,45.2,0.2,1,2.22464,2.21252,10000,
40.5,48.4,0.0100001,1e-07,1e-07,1e-07,10000,
40.5,48.4,0.0100001,0.2,1e-07,1e-07,10000,
40.5,48.4,0.0100001,0.4,1e-07,1e-07,10000,
40.5,48.4,0.0100001,0.6,1e-07,1e-07,10000,
40.5,48.4,0.0100001,0.8,1e-07,1e-07,10000,
40.5,48.4,0.0100001,1,1e-07,1e-07,10000,
40.5,48.4,0.0480001,1e-07,1e-07,1e-07,10000,
40.5,48.4,0.0480001,0.2,1e-07,1e-07,10000,
40.5,48.4,0.0480001,0.4,1.22286e-07,1.25581e-05,10000,
40.5,48.4,0.0480001,0.6,1.23989e-05,0.000353442,10000,
40.5,48.4,0.0480001,0.8,0.000321413,0.00157446,10000,
40.5,48.4,0.0480001,1,0.0024156,0.00471513,10000,
40.5,48.4,0.0860001,1e-07,1e-07,1e-07,10000,
40.5,48.4,0.0860001,0.2,2.26166e-06,0.000172718,10000,
40.5,48.4,0.0860001,0.4,0.00125319,0.00336193,10000,
40.5,48.4,0.0860001,0.6,0.0132266,0.0180301,10000,
40.5,48.4,0.0860001,0.8,0.0480343,0.0541462,10000,
40.5,48.4,0.0860001,1,0.111095,0.116722,10000,
40.5,48.4,0.124,1e-07,1e-07,1e-07,10000,
40.5,48.4,0.124,0.2,0.000829558,0.00280377,10000,
40.5,48.4,0.124,0.4,0.0278535,0.0342126,10000,
40.5,48.4,0.124,0.6,0.111156,0.11809,10000,
40.5,48.4,0.124,0.8,0.245242,0.25069,10000,
40.5,48.4,0.124,1,0.417566,0.41885,10000,
40.5,48.4,0.162,1e-07,1e-07,1e-07,10000,
40.5,48.4,0.162,0.2,0.0109609,0.0159596,10000,
40.5,48.4,0.162,0.4,0.118848,0.126434,10000,
40.5,48.4,0.162,0.6,0.318784,0.324261,10000,
40.5,48.4,0.162,0.8,0.570741,0.571213,10000,
40.5,48.4,0.162,1,0.852146,0.849568,10000,
40.5,48.4,0.2,1e-07,1e-07,1e-07,10000,
40.5,48.4,0.2,0.2,0.0457776,0.0532481,10000,
40.5,48.4,0.2,0.4,0.279711,0.286613,10000,
40.5,48.4,0.2,0.6,0.609871,0.610874,10000,
40.5,48.4,0.2,0.8,0.976908,0.974461,10000,
40.5,48.4,0.2,1,1.35827,1.35405,10000,
40.5,51.6,0.0100001,1e-07,1e-07,1e-07,10000,
40.5,51.6,0.0100001,0.2,1e-07,1e-07,10000,
40.5,51.6,0.0100001,0.4,1e-07,1e-07,10000,
40.5,51.6,0.0100001,0.6,1e-07,1e-07,10000,
40.5,51.6,0.0100001,0.8,1e-07,1e-07,10000,
40.5,51.6,0.0100001,1,1e-07,1e-07,10000,
40.5,51.6,0.0480001,1e-07,1e-07,1e-07,10000,
40.5,51.6,0.0480001,0.2,1e-07,1e-07,10000,
40.5,51.6,0.0480001,0.4,1e-07,1e-07,10000,
40.5,51.6,0.0480001,0.6,1.01572e-07,1e-07,10000,
40.5,51.6,0.0480001,0.8,5.65089e-07,0.000125323,10000,
40.5,51.6,0.0480001,1,1.50395e-05,0.000461776,10000,
40.5,51.6,0.0860001,1e-07,1e-07,1e-07,10000,
40.5,51.6,0.0860001,0.2,1.00213e-07,1e-07,10000,
40.5,51.6,0.0860001,0.4,1.20564e-05,0.000469068,10000,
40.5,51.6,0.0860001,0.6,0.000585178,0.00275593,10000,
40.5,51.6,0.0860001,0.8,0.00459618,0.00873661,10000,
40.5,51.6,0.0860001,1,0.0169354,0.0234712,10000,
40.5,51.6,0.124,1e-07,1e-07,1e-07,10000,
40.5,51.6,0.124,0.2,7.79369e-06,0.000393661,10000,
40.5,51.6,0.124,0.4,0.00241011,0.00594533,10000,
40.5,51.6,0.124,0.6,0.0205566,0.0281571,10000,
40.5,51.6,0.124,0.8,0.0668139,0.0766769,10000,
40.5,51.6,0.124,1,0.144177,0.154229,10000,
40.5,51.6,0.162,1e-07,1e-07,1e-07,10000,
40.5,51.6,0.162,0.2,0.000597816,0.00296355,10000,
40.5,51.6,0.162,0.4,0.024723,0.0331705,10000,
40.5,51.6,0.162,0.6,0.105428,0.116907,10000,
40.5,51.6,0.162,0.8,0.239943,0.250939,10000,
40.5,51.6,0.162,1,0.415617,0.424655,10000,
40.5,51.6,0.2,1e-07,1e-07,1e-07,10000,
40.5,51.6,0.2,0.2,0.00602029,0.0111305,10000,
40.5,51.6,0.2,0.4,0.0909092,0.102627,10000,
40.5,51.6,0.2,0.6,0.272699,0.284683,10000,
40.5,51.6,0.2,0.8,0.51636,0.525703,10000,
40.5,51.6,0.2,1,0.797121,0.80121,10000,
40.5,54.8,0.0100001,1e-07,1e-07,1e-07,10000,
40.5,54.8,0.0100001,0.2,1e-07,1e-07,10000,
40.5,54.8,0.0100001,0.4,1e-07,1e-07,10000,
40.5,54.8,0.0100001,0.6,1e-07,1e-07,10000,
40.5,54.8,0.0100001,0.8,1e-07,1e-07,10000,
40.5,54.8,0.0100001,1,1e-07,1e-07,10000,
40.5,54.8,0.0480001,1e-07,1e-07,1e-07,10000,
40.5,54.8,0.0480001,0.2,1e-07,1e-07,10000,
40.5,54.8,0.0480001,0.4,1e-07,1e-07,10000,
40.5,54.8,0.0480001,0.6,1e-07,1e-07,10000,
40.5,54.8,0.0480001,0.8,1.0015e-07,1e-07,10000,
40.5,54.8,0.0480001,1,1.28403e-07,7.7564e-06,10000,
40.5,54.8,0.0860001,1e-07,1e-07,1e-07,10000,
40.5,54.8,0.0860001,0.2,1e-07,1e-07,10000,
40.5,54.8,0.0860001,0.4,1.47285e-07,2.75359e-05,10000,
40.5,54.8,0.0860001,0.6,1.48849e-05,0.000597046,10000,
40.5,54.8,0.0860001,0.8,0.000294288,0.00235314,10000,
40.5,54.8,0.0860001,1,0.00189565,0.00553024,10000,
40.5,54.8,0.124,1e-07,1e-07,1e-07,10000,
40.5,54.8,0.124,0.2,1.30857e-07,3.81933e-06,10000,
40.5,54.8,0.124,0.4,0.000142387,0.00175877,10000,
40.5,54.8,0.124,0.6,0.00300173,0.0075659,10000,
40.5,54.8,0.124,0.8,0.0154173,0.0235517,10000,
40.5,54.8,0.124,1,0.0439105,0.0554157,10000,
40.5,54.8,0.162,1e-07,1e-07,1e-07,10000,
40.5,54.8,0.162,0.2,2.07219e-05,0.000726056,10000,
40.5,54.8,0.162,0.4,0.00420468,0.00958954,10000,
40.5,54.8,0.162,0.6,0.030875,0.0418992,10000,
40.5,54.8,0.162,0.8,0.0927543,0.107069,10000,
40.5,54.8,0.162,1,0.190443,0.205741,10000,
40.5,54.8,0.2,1e-07,1e-07,1e-07,10000,
40.5,54.8,0.2,0.2,0.000599022,0.00353691,10000,
40.5,54.8,0.2,0.4,0.0262332,0.0370691,10000,
40.5,54.8,0.2,0.6,0.11367,0.129313,10000,
40.5,54.8,0.2,0.8,0.260267,0.276654,10000,
40.5,54.8,0.2,1,0.451842,0.468013,10000,
