Spot, Strike, Vol, Expiry, BSC_An_Vega, BSC_Bumped_Vega, MC_Results, NumberOfPaths 
44,50,0.0480001,0.2,2.48461e-06,2.46508e-06,1e-07,10000,
44,50,0.0480001,0.4,0.0213287,0.0213075,0.000694116,10000,
44,50,0.0480001,0.6,0.447856,0.447852,0.00419023,10000,
44,50,0.0480001,0.8,2.02308,2.02316,0.0181937,10000,
44,50,0.0480001,1,4.89984,4.89983,0.0519284,10000,
44,50,0.0860001,1e-07,1e-07,1e-07,1e-07,10000,
44,50,0.0860001,0.2,0.0762262,0.0762041,0.00191536,10000,
44,50,0.0860001,0.4,1.64115,1.64121,0.0268847,10000,
44,50,0.0860001,0.6,4.85379,4.85374,0.101108,10000,
44,50,0.0860001,0.8,8.5414,8.54132,0.225047,10000,
44,50,0.0860001,1,12.1059,12.106,0.389464,10000,
44,50,0.124,1e-07,1e-07,1e-07,1e-07,10000,
44,50,0.124,0.2,0.870695,0.870736,0.0200916,10000,
44,50,0.124,0.4,4.54918,4.54912,0.145762,10000,
44,50,0.124,0.6,8.48977,8.48975,0.356663,10000,
44,50,0.124,0.8,11.9708,11.9709,0.617908,10000,
44,50,0.124,1,14.958,14.9581,0.908568,10000,
44,50,0.162,1e-07,1e-07,1e-07,1e-07,10000,
44,50,0.162,0.2,2.21696,2.21696,0.0794919,10000,
44,50,0.162,0.4,6.72524,6.72521,0.358939,10000,
44,50,0.162,0.6,10.5156,10.5157,0.718088,10000,
44,50,0.162,0.8,13.616,13.6161,1.10554,10000,
44,50,0.162,1,16.2074,16.2074,1.50161,10000,
44,50,0.2,1e-07,1e-07,1e-07,1e-07,10000,
44,50,0.2,0.2,3.49263,3.49258,0.188105,10000,
44,50,0.2,0.4,8.13069,8.13073,0.63992,10000,
44,50,0.2,0.6,11.6622,11.6623,1.13962,10000,
44,50,0.2,0.8,14.4841,14.4841,1.63961,10000,
44,50,0.2,1,16.8347,16.8346,2.12834,10000,
44.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,10000,
44.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,10000,
44.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,10000,
44.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,10000,
44.5,50,0.0100001,0.8,1e-07,1e-07,1e-07,10000,
