Spot, Strike, Vol, Expiry, BSC_An_Vega, BSC_Bumped_Vega, blank, blank 
46,50,0.0100001,0.6,1.0071e-07,1.00691e-07,1e-07,
46,50,0.0100001,0.8,0.000130819,0.000130147,1e-07,
46,50,0.0100001,1,0.0709857,0.0709412,1e-07,
46,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
46,50,0.0480001,0.2,0.0246908,0.0246721,1e-07,
46,50,0.0480001,0.4,1.35479,1.35485,1e-07,
46,50,0.0480001,0.6,5.2077,5.20764,1e-07,
46,50,0.0480001,0.8,10.0651,10.0651,1e-07,
46,50,0.0480001,1,14.6477,14.6478,1e-07,
46,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
46,50,0.0860001,0.2,1.37891,1.37895,1e-07,
46,50,0.0860001,0.4,6.07344,6.07338,1e-07,
46,50,0.0860001,0.6,10.5841,10.5842,1e-07,
46,50,0.0860001,0.8,14.297,14.297,1e-07,
46,50,0.0860001,1,17.2901,17.2901,1e-07,
46,50,0.124,1e-07,1e-07,1e-07,1e-07,
46,50,0.124,0.2,3.54579,3.54574,1e-07,
46,50,0.124,0.4,8.63563,8.63568,1e-07,
46,50,0.124,0.6,12.4957,12.4958,1e-07,
46,50,0.124,0.8,15.5147,15.5146,1e-07,
46,50,0.124,1,17.9616,17.9615,1e-07,
46,50,0.162,1e-07,1e-07,1e-07,1e-07,
